timestamp	x	y	z	qw	qx	qy	qz
1763016378.859770	-89.357895	3.306935	-22.184650	0.860175	-0.003930	-0.004140	0.509966
1763016379.061351	-89.319138	3.313048	-22.207611	0.860141	-0.003232	-0.002084	0.510041
1763016379.261226	-89.275909	3.318133	-22.227604	0.860120	-0.002341	0.000170	0.510086
1763016379.461753	-89.242447	3.320929	-22.239462	0.860121	-0.001550	0.001886	0.510085
1763016379.662581	-89.197800	3.323059	-22.250322	0.860147	-0.000301	0.004241	0.510028
1763016379.863798	-89.150894	3.323058	-22.255110	0.860238	0.001117	0.006659	0.509848
1763016380.065181	-89.115280	3.320958	-22.253016	0.860342	0.002275	0.008319	0.509644
1763016380.265378	-89.086342	3.317018	-22.245684	0.860439	0.003315	0.009703	0.509450
1763016380.465385	-89.064072	3.310953	-22.222656	0.860523	0.004155	0.010827	0.509280
1763016380.665204	-89.051064	3.303437	-22.134123	0.860572	0.004765	0.011565	0.509176
1763016380.865334	-89.046715	3.295178	-21.953386	0.860582	0.005132	0.011746	0.509151
1763016381.066239	-89.051651	3.285159	-21.684198	0.860559	0.005293	0.011018	0.509203
1763016381.265779	-89.066940	3.274370	-21.386528	0.860495	0.005067	0.009646	0.509343
1763016381.465913	-89.090073	3.263738	-21.085047	0.860404	0.004781	0.007984	0.509528
1763016381.666142	-89.122993	3.252378	-20.742075	0.860304	0.004348	0.006009	0.509727
1763016381.866671	-89.160309	3.242205	-20.403179	0.860233	0.003833	0.003881	0.509872
1763016382.066793	-89.204468	3.232624	-20.033346	0.860195	0.002867	0.001940	0.509954
1763016382.266597	-89.250206	3.222379	-19.661606	0.857109	-0.012232	0.009178	0.514908
1763016382.466905	-89.297508	3.202856	-19.301870	0.829828	0.007937	0.023509	0.557468
1763016382.667886	-89.365723	3.174836	-18.925236	0.756597	-0.000134	0.023023	0.653476
1763016382.867233	-89.449089	3.132980	-18.546650	0.630947	-0.022140	0.001980	0.775507
1763016383.067492	-89.516953	3.082354	-18.191050	0.476259	-0.016989	-0.039796	0.878240
1763016383.267574	-89.554512	3.054282	-17.848570	0.344535	-0.022454	-0.067700	0.936060
1763016383.467999	-89.548660	3.079895	-17.561573	0.260057	-0.017215	-0.038908	0.964656
1763016383.668088	-89.513718	3.140206	-17.385433	0.215957	-0.004712	-0.001146	0.976391
1763016383.868540	-89.470581	3.205753	-17.275295	0.194439	0.001916	0.012325	0.980835
1763016384.068712	-89.432480	3.258425	-17.203905	0.188056	0.002170	0.008412	0.982120
1763016384.269768	-89.396400	3.308057	-17.167574	0.189525	-0.005568	-0.047204	0.980725
1763016384.469335	-89.345634	3.402214	-17.175571	0.194350	-0.021245	-0.127087	0.972433
1763016384.669353	-89.260742	3.589199	-17.215300	0.200701	-0.024110	-0.138511	0.969511
1763016384.869648	-89.132820	3.885107	-17.271200	0.206965	-0.014100	-0.088615	0.974225
1763016385.069864	-88.975563	4.255497	-17.344595	0.216536	-0.006707	-0.020489	0.976036
1763016385.270234	-88.814537	4.630846	-17.435286	0.249116	0.006424	0.044574	0.967426
1763016385.470437	-88.666862	4.976297	-17.546892	0.311861	0.023678	0.117480	0.942540
1763016385.670700	-88.566200	5.238386	-17.660398	0.395206	0.020110	0.130276	0.909085
1763016385.871280	-88.516670	5.419864	-17.763802	0.478038	-0.002827	0.111119	0.871278
1763016386.071518	-88.507797	5.521916	-17.846979	0.536384	-0.008999	0.070950	0.840938
1763016386.272594	-88.522285	5.574590	-17.914032	0.571998	-0.010201	0.042164	0.819107
1763016386.471856	-88.550743	5.596982	-17.957066	0.592879	-0.015496	0.037253	0.804280
1763016386.671970	-88.583611	5.592553	-17.929672	0.603112	-0.020762	0.037446	0.796507
1763016386.873150	-88.621613	5.563039	-17.796705	0.608319	-0.023627	0.035526	0.792545
1763016387.072709	-88.661476	5.505963	-17.581591	0.610178	-0.024428	0.030533	0.791299
1763016387.273182	-88.697212	5.424969	-17.341125	0.608763	-0.052779	0.031121	0.790983
1763016387.473298	-88.717926	5.296216	-17.063480	0.603621	-0.107504	0.063524	0.787432
1763016387.673287	-88.704086	5.068718	-16.736982	0.600626	-0.115091	0.081464	0.786998
1763016387.873816	-88.660698	4.764622	-16.404949	0.600482	-0.089727	0.067221	0.791740
1763016388.073807	-88.592819	4.371299	-16.039490	0.599903	-0.069826	0.051683	0.795342
1763016388.273960	-88.506088	3.914175	-15.660366	0.599621	-0.058630	0.042093	0.797023
1763016388.474366	-88.401260	3.396492	-15.268458	0.600217	-0.050557	0.035898	0.797430
1763016388.674772	-88.289093	2.866976	-14.897610	0.601497	-0.043363	0.030939	0.797097
1763016388.874771	-88.155846	2.257161	-14.499775	0.603243	-0.035761	0.025644	0.796343
1763016389.075458	-88.010056	1.604675	-14.101983	0.604896	-0.028468	0.020395	0.795534
1763016389.275287	-87.867203	0.974877	-13.740479	0.605974	-0.022057	0.015615	0.795025
1763016389.476245	-87.719383	0.329804	-13.388711	0.606546	0.004033	-0.004445	0.795026
1763016389.675693	-87.560272	-0.362499	-13.023130	0.604354	0.064245	-0.050553	0.792510
1763016389.876039	-87.430115	-0.937376	-12.709963	0.597945	0.127787	-0.098886	0.785082
1763016390.076328	-87.334175	-1.384202	-12.417108	0.594474	0.149839	-0.115587	0.781530
1763016390.277032	-87.279572	-1.677688	-12.149061	0.597997	0.120008	-0.092724	0.787020
1763016390.477388	-87.261696	-1.841821	-11.934119	0.601083	0.084103	-0.064925	0.792092
1763016390.677222	-87.272156	-1.891441	-11.816853	0.602460	0.056999	-0.044301	0.794878
1763016390.877276	-87.301109	-1.880468	-11.736647	0.602682	0.037787	-0.020919	0.796812
1763016391.078191	-87.345322	-1.837601	-11.675473	0.599936	0.059833	0.029542	0.797261
1763016391.278883	-87.442520	-1.784730	-11.634767	0.594362	0.099063	0.090240	0.792955
1763016391.478526	-87.667664	-1.736261	-11.605230	0.594712	0.098433	0.095957	0.792099
1763016391.678735	-87.980392	-1.706457	-11.583083	0.598781	0.071086	0.071001	0.794586
1763016391.879210	-88.364128	-1.687839	-11.568874	0.601354	0.050259	0.055858	0.795442
1763016392.078676	-88.846596	-1.679832	-11.563664	0.599646	0.035838	0.057728	0.797375
1763016392.279701	-89.345154	-1.692644	-11.565709	0.559325	0.026602	0.085360	0.824112
1763016392.479430	-89.935684	-1.752845	-11.570129	0.438120	-0.009303	0.085861	0.894758
1763016392.679611	-90.531013	-1.877165	-11.578763	0.245221	-0.059822	0.067148	0.965287
1763016392.879687	-91.084023	-2.062715	-11.602592	0.043084	-0.084587	0.027545	0.995103
1763016393.079850	-91.568542	-2.274179	-11.637141	0.104586	0.108425	0.017482	-0.988433
1763016393.280671	-91.949425	-2.456145	-11.673886	0.190415	0.141891	0.044113	-0.970393
1763016393.480376	-92.255424	-2.594281	-11.711762	0.244744	0.151234	0.071336	-0.955060
1763016393.680625	-92.448975	-2.644466	-11.734633	0.270435	0.115317	0.056414	-0.954141
1763016393.880989	-92.558777	-2.624803	-11.744952	0.277533	0.082954	0.025030	-0.956801
1763016394.081108	-92.610405	-2.568217	-11.748825	0.275918	0.054348	-0.002066	-0.959641
1763016394.281270	-92.620193	-2.496916	-11.748472	0.270139	0.041690	-0.014367	-0.961811
1763016394.481367	-92.592155	-2.426149	-11.744734	0.263534	0.067010	0.000839	-0.962319
1763016394.682235	-92.514404	-2.343892	-11.741101	0.256316	0.127518	0.023815	-0.957849
1763016394.882012	-92.335419	-2.211369	-11.734394	0.249055	0.163361	0.032541	-0.954057
1763016395.082238	-92.046043	-2.026833	-11.711597	0.246455	0.132400	0.023525	-0.959780
1763016395.282511	-91.654099	-1.794738	-11.676468	0.247022	0.097960	0.014755	-0.963933
1763016395.482624	-91.202179	-1.539152	-11.638814	0.250211	0.072956	0.009076	-0.965396
1763016395.683654	-90.693024	-1.260467	-11.601505	0.255138	0.014504	-0.006499	-0.966774
1763016395.883219	-90.181473	-0.989441	-11.573088	0.259166	-0.066236	-0.028474	-0.963138
1763016396.083435	-89.691353	-0.742867	-11.560078	0.260037	-0.152854	-0.049007	-0.952163
1763016396.283793	-89.348282	-0.585355	-11.563910	0.248485	-0.222329	-0.048308	-0.941537
1763016396.484699	-89.156677	-0.506045	-11.562867	0.220835	-0.219056	-0.035578	-0.949726
1763016396.683977	-89.136093	-0.498663	-11.544491	0.178649	-0.164573	-0.032967	-0.969491
1763016396.884313	-89.245827	-0.542927	-11.520384	0.121623	-0.106445	-0.022388	-0.986598
1763016397.085039	-89.442780	-0.617120	-11.502138	0.052958	-0.081879	-0.011650	-0.995166
1763016397.285365	-89.702721	-0.703500	-11.493759	0.020980	0.076408	0.003012	0.996851
1763016397.484991	-90.038574	-0.794739	-11.494025	0.100906	0.071074	-0.008672	0.992316
1763016397.685184	-90.421608	-0.870727	-11.501140	0.176686	0.057065	-0.016463	0.982474
1763016397.885390	-90.837837	-0.926843	-11.513635	0.237001	0.001066	-0.010790	0.971449
1763016398.086406	-91.257202	-0.975078	-11.536396	0.274640	-0.077583	-0.012620	0.958329
1763016398.286472	-91.616615	-1.030017	-11.566709	0.293868	-0.108733	-0.016395	0.949500
1763016398.486149	-91.889374	-1.094596	-11.591661	0.313310	-0.073855	-0.036740	0.946062
1763016398.686341	-92.106583	-1.154353	-11.612006	0.355360	-0.052926	-0.033448	0.932630
1763016398.886584	-92.266121	-1.204129	-11.628808	0.397034	-0.048739	0.015573	0.916377
1763016399.087417	-92.399155	-1.280725	-11.644791	0.425175	-0.021996	0.078772	0.901408
1763016399.287174	-92.548439	-1.425035	-11.661081	0.441199	0.027802	0.125554	0.888148
1763016399.487873	-92.749283	-1.638620	-11.669095	0.447816	0.051594	0.111518	0.885643
1763016399.687585	-93.029930	-1.919144	-11.665285	0.447904	0.042394	0.077533	0.889704
1763016399.888009	-93.363884	-2.235877	-11.655014	0.444473	0.029378	0.056260	0.893541
1763016400.088474	-93.726463	-2.571008	-11.642566	0.440165	0.021810	0.045552	0.896496
1763016400.288413	-94.142456	-2.951023	-11.628385	0.436264	0.018968	0.037078	0.898854
1763016400.488475	-94.565079	-3.333030	-11.614816	0.434292	0.017753	0.029898	0.900101
1763016400.688845	-95.028854	-3.746706	-11.601414	0.434499	0.016662	0.023589	0.900209
1763016400.889219	-95.490456	-4.151957	-11.589998	0.436582	0.015577	0.018519	0.899339
1763016401.089257	-95.974350	-4.569465	-11.580398	0.439824	0.014487	0.014075	0.897857
1763016401.289676	-96.478767	-4.996516	-11.573112	0.443296	0.013327	0.010094	0.896220
1763016401.490193	-96.978912	-5.411696	-11.568653	0.446056	0.014971	0.004773	0.894867
1763016401.690377	-97.505531	-5.832529	-11.568195	0.447743	0.046585	-0.029828	0.892450
1763016401.890668	-98.036530	-6.200271	-11.575806	0.447440	0.087675	-0.086381	0.885804
1763016402.090869	-98.612389	-6.485967	-11.585630	0.448666	0.093022	-0.103429	0.882807
1763016402.291165	-99.215561	-6.662239	-11.587461	0.450542	0.075888	-0.085675	0.885389
1763016402.491434	-99.831055	-6.745359	-11.583998	0.450653	0.059054	-0.067384	0.888192
1763016402.691743	-100.452438	-6.757683	-11.576015	0.449372	0.048475	-0.075279	0.888846
1763016402.891785	-101.096443	-6.701259	-11.533005	0.447821	0.037253	-0.135516	0.883008
1763016403.092654	-101.693649	-6.564240	-11.413151	0.448103	0.019420	-0.174834	0.876504
1763016403.292296	-102.279037	-6.319764	-11.193731	0.450390	0.011928	-0.154141	0.879344
1763016403.492726	-102.796890	-5.991009	-10.930509	0.451892	0.008755	-0.119445	0.883996
1763016403.692613	-103.308212	-5.557667	-10.625724	0.451711	0.005062	-0.089767	0.887623
1763016403.892933	-103.767540	-5.081958	-10.316342	0.450423	0.001335	-0.070311	0.890041
1763016404.611252	-104.220566	-4.535686	-9.982162	0.448975	-0.010051	-0.068161	0.890884
1763016404.811387	-104.616913	-3.967508	-9.687071	0.448022	-0.033387	-0.083704	0.889469
1763016405.011617	-104.954285	-3.350925	-9.436410	0.447961	-0.047474	-0.082393	0.888982
